decile,n,acceptance_rate,total_acceptors,cum_acceptors,cum_pct_of_all_acceptors,cum_pct_of_audience,lift_vs_baseline
0,191,0.837696335078534,160,160,20.4,10.0,2.03
1,190,0.7684210526315789,146,306,39.0,20.0,1.87
2,191,0.680628272251309,130,436,55.5,30.0,1.65
3,190,0.5894736842105263,112,548,69.8,40.0,1.43
4,191,0.450261780104712,86,634,80.8,50.0,1.09
5,189,0.32275132275132273,61,695,88.5,59.9,0.78
6,192,0.21354166666666666,41,736,93.8,70.0,0.52
7,190,0.15263157894736842,29,765,97.5,80.0,0.37
8,191,0.07853403141361257,15,780,99.4,90.0,0.19
9,191,0.02617801047120419,5,785,100.0,100.0,0.06
